10
41.82847 ,-103.7079 ,0.0       ,5.574433736599 ,0.0          ,115.0,EMPTY     ,EMPTY     
42.04933 ,-103.67887,0.0       ,4.462489892238 ,0.0          ,115.0,EMPTY     ,EMPTY     
42.27559 ,-103.65501,0.0       ,40.67266597212 ,0.0          ,115.0,EMPTY     ,EMPTY     
42.52287 ,-103.36627,0.0       ,354.3675550554 ,0.0          ,115.0,EMPTY     ,EMPTY     
42.80438 ,-103.40411,0.0       ,320.0105738333 ,0.0          ,115.0,EMPTY     ,EMPTY     
43.02519 ,-103.65778,0.0       ,7.161976715337 ,0.0          ,115.0,EMPTY     ,EMPTY     
43.23336 ,-103.62188,0.0       ,24.26867508077 ,0.0          ,115.0,EMPTY     ,EMPTY     
43.33152 ,-103.56103,0.0       ,26.86245194404 ,0.0          ,115.0,EMPTY     ,EMPTY     
43.41427 ,-103.50332,0.0       ,7.145267155841 ,0.0          ,115.0,EMPTY     ,EMPTY     
43.55646 ,-103.47872,0.0       ,0.0            ,0.0          ,115.0,EMPTY     ,EMPTY     
