10
41.31823 ,-81.58775 ,0.0       ,237.5949451550 ,0.0          ,115.0,EMPTY     ,EMPTY     
41.02818 ,-82.1902  ,0.0       ,250.9205937186 ,0.0          ,115.0,EMPTY     ,EMPTY     
40.65224 ,-83.59049 ,0.0       ,204.4855853573 ,0.0          ,115.0,EMPTY     ,EMPTY     
39.81069 ,-84.08877 ,0.0       ,218.6383275486 ,0.0          ,115.0,EMPTY     ,EMPTY     
39.4999  ,-84.41028 ,0.0       ,221.1974364676 ,0.0          ,115.0,EMPTY     ,EMPTY     
39.20626 ,-84.74146 ,0.0       ,245.6603327907 ,0.0          ,115.0,EMPTY     ,EMPTY     
39.05564 ,-85.16804 ,0.0       ,259.3673105747 ,0.0          ,115.0,EMPTY     ,EMPTY     
38.9423  ,-85.9274  ,0.0       ,257.0783645400 ,0.0          ,115.0,EMPTY     ,EMPTY     
38.83941 ,-86.49545 ,0.0       ,259.0794824330 ,0.0          ,115.0,EMPTY     ,EMPTY     
38.67795 ,-87.53668 ,0.0       ,0.0            ,0.0          ,115.0,EMPTY     ,EMPTY     
