10
37.11553 ,-93.41902 ,368.49496 ,21.14480972290 ,-0.002581047 ,115.0,RETRIEVED ,EMPTY     
37.29552 ,-93.3315  ,367.5281  ,337.8580932617 ,-0.056384943 ,115.0,RETRIEVED ,EMPTY     
38.42928 ,-93.92113 ,233.41347 ,288.4114685058 ,0.0851663716 ,115.0,RETRIEVED ,EMPTY     
38.62085 ,-94.6668  ,334.9008  ,297.1729125976 ,-0.032598764 ,115.0,RETRIEVED ,EMPTY     
39.02047 ,-95.67974 ,278.9363  ,354.0834960937 ,0.0156246615 ,115.0,RETRIEVED ,EMPTY     
40.13378 ,-95.83065 ,312.87912 ,287.9321899414 ,0.0677937182 ,115.0,RETRIEVED ,EMPTY     
40.553   ,-97.58965 ,497.69223 ,295.2670898437 ,0.0644452568 ,115.0,RETRIEVED ,EMPTY     
41.00359 ,-98.87458 ,631.8013  ,310.6737060546 ,0.0720904337 ,115.0,RETRIEVED ,EMPTY     
41.9049  ,-100.29741,827.1485  ,269.4150695800 ,0.0869404994 ,115.0,RETRIEVED ,EMPTY     
41.82847 ,-103.7079 ,1255.8749 ,0.0            ,0.0          ,115.0,RETRIEVED ,EMPTY     
