10
41.82847 ,-103.7079 ,1255.8749 ,5.574433803558 ,0.1693041973 ,80.0 ,RETRIEVED ,EMPTY     
42.04933 ,-103.67887,1328.7906 ,4.462490081787 ,0.2098886152 ,80.0 ,RETRIEVED ,EMPTY     
42.27559 ,-103.65501,1421.2349 ,40.67266464233 ,-0.017013238 ,80.0 ,RETRIEVED ,EMPTY     
42.52287 ,-103.36627,1410.4541 ,354.3675537109 ,-0.576647411 ,80.0 ,RETRIEVED ,EMPTY     
42.80438 ,-103.40411,1093.8677 ,320.0105590820 ,-0.020845508 ,80.0 ,RETRIEVED ,EMPTY     
43.02519 ,-103.65778,1082.1936 ,7.161976814270 ,-0.077357077 ,80.0 ,RETRIEVED ,EMPTY     
43.23336 ,-103.62188,1050.6945 ,24.26867485046 ,-0.079270186 ,80.0 ,RETRIEVED ,EMPTY     
43.33152 ,-103.56103,1034.1268 ,26.86245155334 ,0.4851714042 ,80.0 ,RETRIEVED ,EMPTY     
43.41427 ,-103.50332,1121.483  ,7.145267009735 ,0.4560480883 ,80.0 ,RETRIEVED ,EMPTY     
43.55646 ,-103.47872,1248.3225 ,0.0            ,0.0          ,80.0 ,RETRIEVED ,EMPTY     
