10
37.11553 ,-93.41902 ,0.0       ,21.14481040563 ,0.0          ,115.0,EMPTY     ,EMPTY     
37.29552 ,-93.3315  ,0.0       ,337.8580867388 ,0.0          ,115.0,EMPTY     ,EMPTY     
38.42928 ,-93.92113 ,0.0       ,288.4114836896 ,0.0          ,115.0,EMPTY     ,EMPTY     
38.62085 ,-94.6668  ,0.0       ,297.1729270110 ,0.0          ,115.0,EMPTY     ,EMPTY     
39.02047 ,-95.67974 ,0.0       ,354.0834946240 ,0.0          ,115.0,EMPTY     ,EMPTY     
40.13378 ,-95.83065 ,0.0       ,287.9321976812 ,0.0          ,115.0,EMPTY     ,EMPTY     
40.553   ,-97.58965 ,0.0       ,295.2670822084 ,0.0          ,115.0,EMPTY     ,EMPTY     
41.00359 ,-98.87458 ,0.0       ,310.6737088600 ,0.0          ,115.0,EMPTY     ,EMPTY     
41.9049  ,-100.29741,0.0       ,269.4150650024 ,0.0          ,115.0,EMPTY     ,EMPTY     
41.82847 ,-103.7079 ,0.0       ,0.0            ,0.0          ,115.0,EMPTY     ,EMPTY     
