10
38.67795 ,-87.53668 ,0.0       ,267.60634800642885 ,0.0  ,80.0 ,EMPTY     ,EMPTY     
38.63259 ,-88.73772 ,0.0       ,254.85726581520345 ,0.0  ,80.0 ,EMPTY     ,EMPTY     
38.3939  ,-89.83873 ,0.0       ,284.67502903504464 ,0.0  ,80.0 ,EMPTY     ,EMPTY     
38.5036  ,-90.38008 ,0.0       ,208.0979758471976  ,0.0  ,80.0 ,EMPTY     ,EMPTY     
38.21716 ,-90.57462 ,0.0       ,166.601181548589   ,0.0  ,80.0 ,EMPTY     ,EMPTY     
37.78475 ,-90.44431 ,0.0       ,180.30624205699212 ,0.0  ,80.0 ,EMPTY     ,EMPTY     
37.1189  ,-90.44878 ,0.0       ,258.7572629645466  ,0.0  ,80.0 ,EMPTY     ,EMPTY     
37.03722 ,-90.95671 ,0.0       ,265.4491873966831  ,0.0  ,80.0 ,EMPTY     ,EMPTY     
36.99204 ,-91.63687 ,0.0       ,276.4017568151437  ,0.0  ,80.0 ,EMPTY     ,EMPTY     
37.13781 ,-93.41484 ,0.0       ,0.0                ,0.0  ,80.0 ,EMPTY     ,EMPTY     
