10
41.31823 ,-81.58775 ,194.39589 ,110.35140228271484 ,0.0  ,80.0 ,RETRIEVED ,EMPTY     
41.02818 ,-82.1902  ,343.18372 ,102.52937316894531 ,0.0  ,80.0 ,RETRIEVED ,EMPTY     
40.65224 ,-83.59049 ,306.98557 ,162.00428771972656 ,0.0  ,80.0 ,RETRIEVED ,EMPTY     
39.81069 ,-84.08877 ,254.98573 ,167.15090942382812 ,0.0  ,80.0 ,RETRIEVED ,EMPTY     
39.4999  ,-84.41028 ,195.92516 ,184.13504028320312 ,0.0  ,80.0 ,RETRIEVED ,EMPTY     
39.20626 ,-84.74146 ,154.40344 ,213.87750244140625 ,0.0  ,80.0 ,RETRIEVED ,EMPTY     
39.05564 ,-85.16804 ,299.0684  ,263.1224060058594  ,0.0  ,80.0 ,RETRIEVED ,EMPTY     
38.9423  ,-85.9274  ,172.5373  ,259.7366638183594  ,0.0  ,80.0 ,RETRIEVED ,EMPTY     
38.83941 ,-86.49545 ,189.53577 ,231.0239715576172  ,0.0  ,80.0 ,RETRIEVED ,EMPTY     
38.67848 ,-86.80283 ,206.73018 ,0.0                ,0.0  ,80.0 ,RETRIEVED ,EMPTY     
